,Words,Frequency,Tags
755,matter,7,RBR
756,dancing,7,VBG
757,tomorrow,7,NN
758,hater,7,NN
759,old,7,JJ
760,babe,7,NN
761,watching,7,VBG
762,bust,7,JJ
763,rob,7,NN
764,plans,7,NNS
765,ing,7,VBG
766,de,7,IN
767,proof,7,FW
768,alive,7,JJ
769,yep,7,NN
770,gold,7,NN
771,drive,7,NN
772,most,7,RBS
773,pray,7,JJ
774,walked,7,VBD
775,cheapest,7,JJS
776,finfer,7,NN
777,raw,7,JJ
778,bustin',7,NN
779,turks,7,NNS
780,toda,7,VBP
781,noche,7,RB
782,te,7,JJ
783,los,7,NN
784,en,7,IN
785,won’t,7,NN
786,rest,7,NN
787,mmh,7,NN
788,lambo’,7,NN
789,sittin’,7,NN
790,plug,7,NN
791,rounds,7,VBZ
792,set,6,VBN
793,spot,6,NN
794,soon,6,RB
795,found,6,VBD
796,opps,6,JJ
797,dawg,6,NN
798,once,6,RB
799,sense,6,JJ
800,paper,6,NN
801,picture,6,NN
802,thinking,6,VBG
803,gucci,6,NN
804,walking,6,VBG
805,naughty,6,JJ
806,henn',6,NN
807,bacardi,6,NN
808,‘rari,6,NNP
809,learn,6,NN
810,lil,6,NN
811,remind,6,NN
812,bch,6,NN
813,teeth,6,IN
814,blue,6,JJ
815,dreams,6,NNS
816,queen,6,JJ
817,slow,6,JJ
818,stompin',6,NN
819,cars,6,NNS
820,fit,6,VBP
821,forgive,6,JJ
822,packed,6,VBN
823,clouds,6,NNS
824,lake,6,VBP
825,everyone,6,NN
826,could've,6,NN
827,storm,6,NN
828,deceive,6,JJ
829,part,6,NN
830,power,6,NN
831,pusy,6,NN
832,b!tches,6,NNS
833,keeps,6,VBP
834,bluebird,6,JJ
835,i’ve,6,JJ
836,feels,6,NNS
837,should’ve,6,VBP
838,letting,6,VBG
839,askin',6,NN
840,late,6,JJ
841,holdin',6,NN
842,haven't,6,NN
843,shower,6,VBD
844,numbers,6,NNS
845,minute,6,JJ
846,circles,6,NNS
847,sticks,6,NNS
848,stones,6,VBP
849,build,6,VB
850,hands,6,NNS
851,i’ll,6,JJ
852,happened,6,VBD
853,heaven,6,JJ
854,dress,6,NN
855,weekend,6,NN
856,daddy,6,JJ
857,wait,6,NN
858,locked,6,VBD
859,shooters,6,NNS
860,section,6,NN
861,wear,6,IN
862,standing,6,VBG
863,spit,6,JJ
864,darkness,6,NN
865,shinin',6,NN
866,rap,6,NN
867,mud,6,NN
868,caring,6,VBG
869,help,6,NN
870,together,6,RB
871,chaser,6,NN
872,learned,6,VBD
873,scarred,6,JJ
874,salt,6,NN
875,paint,6,NN
876,pouring,6,VBG
877,amazing,6,JJ
878,shy,6,JJ
879,peel,6,NN
880,music,6,NN
881,star,6,NN
882,louis,6,NNP
883,v,6,NN
884,'s,6,POS
885,pluto,6,NN
886,today,6,NN
887,harlem,6,VBP
888,tv,6,NN
889,bottom,6,NN
890,big-ass,6,NN
891,sold,6,VBN
892,cheats,6,NNS
893,somewhere,6,RB
894,hurts,6,VBZ
895,define,6,NN
896,gorgeous,6,JJ
897,mentions,6,NNS
898,insane,6,VBP
899,turnt,6,JJ
900,thug,6,NN
901,hoe,6,NN
902,toast,6,NN
903,can’t,6,NN
904,eh,6,NN
905,doo,6,VBP
906,doesn't,6,NN
907,stuff,6,NN
908,wan',6,NN
909,d!ck,6,NN
910,lay,6,VBD
911,rompemo',6,JJ
912,al,6,NN
913,otro,6,NN
914,día,6,NN
915,volvemo',6,NN
916,sabes,6,VBZ
917,hacemo',6,JJ
918,tonight's,6,NN
919,dinero,6,NN
920,rid,6,JJ
921,ok,6,JJ
922,shatter,6,NN
923,jackson,6,NN
924,blazin',6,NN
925,fourteen,6,JJ
926,las,6,NNS
927,ante',6,VBP
928,pichaba',6,JJ
929,jaja,6,NN
930,tape,5,NN
931,slidin',5,NN
932,stoppin',5,VBD
933,plenty,5,JJ
934,guns,5,NNS
935,clip,5,VBP
936,death,5,NN
937,workin',5,NN
938,sell,5,VBP
939,swag,5,NN
940,pissed,5,VBD
941,chris,5,JJ
942,calls,5,NNS
943,scottie,5,JJ
944,pippen,5,JJ
945,crippin',5,NN
946,missing,5,VBG
947,palm,5,NN
948,trees,5,NNS
949,daughter,5,VBP
950,sex,5,NN
951,any,5,DT
952,tired,5,JJ
953,tear,5,JJ
954,wonder,5,NN
955,should've,5,NN
956,stopped,5,VBD
957,ends,5,NNS
958,smokin',5,JJ
959,shots,5,NNS
960,pearl,5,VBP
961,smarter,5,JJ
962,style,5,NN
963,feet,5,NNS
964,piece,5,RB
965,flight,5,NN
966,dollars,5,NNS
967,shirt,5,VBP
968,wakin',5,JJ
969,maybach,5,NN
970,sit,5,NN
971,grab,5,VBD
972,la-la-la,5,JJ
973,fears,5,NNS
974,built,5,VBN
975,stomach,5,JJ
976,stage,5,NN
977,less,5,JJR
978,none,5,NN
979,comin',5,NN
980,kinda,5,NN
981,problems,5,NNS
982,heartbroken,5,VBP
983,they're,5,JJ
984,wide,5,JJ
985,singing,5,NN
986,whatever,5,WDT
987,round,5,JJ
988,sweet,5,JJ
989,loca,5,NN
990,clear,5,JJ
991,meet,5,NN
992,fxckin',5,NN
993,anything,5,NN
994,cum,5,JJ
995,kids,5,NNS
996,air,5,NN
997,cross,5,VBP
998,view,5,NN
999,bean,5,NN
1000,later,5,RB
1001,goes,5,VBZ
1002,green,5,JJ
1003,card,5,NN
1004,someday,5,NN
1005,feed,5,VBD
1006,blame,5,JJ
1007,oh-oh-oh,5,JJ
1008,ayy-ayy-ayy,5,JJ
1009,sound,5,NN
1010,aw,5,NN
1011,stores,5,NNS
1012,don,5,VBP
1013,dig,5,NN
1014,k,5,NN
1015,word,5,NN
1016,drownin',5,NN
1017,"you""",5,NN
1018,steady,5,JJ
1019,haters,5,NNS
1020,selling,5,VBG
1021,nightmare,5,NN
1022,yourself,5,PRP
1023,closer,5,JJR
1024,lazy,5,JJ
1025,rappin',5,NN
1026,finna,5,NN
1027,chain,5,NN
1028,rockstar,5,NN
1029,godzilla,5,NN
1030,"""the",5,NNP
1031,pulled,5,VBD
1032,ease,5,JJ
1033,pack,5,NN
1034,bit,5,NN
1035,thick,5,JJ
1036,clout,5,NN
1037,three-five,5,JJ
1038,quarter,5,NN
1039,attached,5,VBD
1040,batch,5,NN
1041,baddies,5,NNS
1042,space,5,NN
1043,rollin',5,VBP
1044,driving,5,VBG
1045,apart,5,RB
1046,beats,5,NNS
1047,blessed,5,VBD
1048,applause,5,RB
1049,goyard,5,JJ
1050,stallion,5,NN
1051,coke,5,NN
1052,likes,5,NNS
1053,worth,5,JJ
1054,licks,5,NNS
1055,sounds,5,VBZ
1056,holding,5,VBG
1057,filter,5,RBR
1058,cookin',5,JJ
1059,asset,5,NN
1060,size,5,NN
1061,dealin',5,NN
1062,threw,5,VBD
1063,camila,5,JJ
1064,cabello,5,NN
1065,wet,5,NN
1066,bricks,5,NNS
1067,drum,5,VBP
1068,surprised,5,JJ
1069,pool,5,NN
1070,beef,5,NN
1071,wifey,5,NN
1072,ahead,5,RB
1073,tow,5,JJ
1074,jimmy,5,NN
1075,es,5,NN
1076,dues,5,NNS
